[2022-09-13 15:53:32.961] [feature_logger] [info]  Feature_Name       Index     
[2022-09-13 15:53:32.963] [feature_logger] [info]        1              0       
[2022-09-13 15:53:32.963] [feature_logger] [info]       u0              1       
[2022-09-13 15:53:32.971] [feature_logger] [info]       x2              2       
[2022-09-13 15:53:32.972] [feature_logger] [info]       x1              3       
[2022-09-13 15:53:32.972] [feature_logger] [info]       x0              4       
[2022-09-13 15:53:32.973] [feature_logger] [info]      x2u0             5       
[2022-09-13 15:53:32.973] [feature_logger] [info]      x1u0             6       
[2022-09-13 15:53:32.974] [feature_logger] [info]      x1x2             7       
[2022-09-13 15:53:32.974] [feature_logger] [info]      x0u0             8       
[2022-09-13 15:53:32.974] [feature_logger] [info]      x0x2             9       
[2022-09-13 15:53:32.975] [feature_logger] [info]      x0x1            10       
[2022-09-13 15:53:32.975] [feature_logger] [info]     x1x2u0           11       
[2022-09-13 15:53:32.981] [feature_logger] [info]     x0x2u0           12       
[2022-09-13 15:53:32.981] [feature_logger] [info]     x0x1u0           13       
[2022-09-13 15:53:32.982] [feature_logger] [info]     x0x1x2           14       
[2022-09-13 15:53:32.983] [feature_logger] [info]    x0x1x2u0          15       
