[2022-09-13 15:53:32.961] [regressor_logger] [info]     Feature           g            theta          f_ERR     
[2022-09-13 15:53:34.669] [regressor_logger] [info]        0            1.000          1.000          0.129     
[2022-09-13 15:53:42.086] [regressor_logger] [info]        0            1.320        5255.232         1.990     
[2022-09-13 15:53:42.086] [regressor_logger] [info]        1          -116.206     -3435816.708      39.843     
[2022-09-13 15:53:42.086] [regressor_logger] [info]        2            0.847        -4590.274       38.176     
[2022-09-13 15:53:42.086] [regressor_logger] [info]        3            0.011         55.870         39.964     
[2022-09-13 15:53:42.086] [regressor_logger] [info]        4            2.751       -968197.616      40.058     
[2022-09-13 15:53:42.086] [regressor_logger] [info]        5           -0.090        1467.771        40.073     
[2022-09-13 15:53:42.086] [regressor_logger] [info]        6            0.708        14590.139       40.080     
[2022-09-13 15:53:42.086] [regressor_logger] [info]        7            0.038        1432.583        39.828     
[2022-09-13 15:53:42.086] [regressor_logger] [info]        8           -0.835       -248259.848      40.122     
[2022-09-13 15:53:42.086] [regressor_logger] [info]        9           -0.004         -56.564        40.126     
[2022-09-13 15:53:42.086] [regressor_logger] [info]       10            0.054         177.740        40.000     
[2022-09-13 15:53:42.086] [regressor_logger] [info]       11           -0.043         -18.547        40.188     
[2022-09-13 15:53:42.086] [regressor_logger] [info]       12           -0.399       -13750.785       40.189     
[2022-09-13 15:53:42.086] [regressor_logger] [info]       13            0.526        25965.000       40.190     
[2022-09-13 15:53:42.086] [regressor_logger] [info]       14           -0.102        -6176.721       40.191     
[2022-09-13 15:53:42.086] [regressor_logger] [info]       15         166316.261     166316.261       40.191     
[2022-09-13 15:53:42.786] [regressor_logger] [info]        0            1.000          1.000          0.404     
